PromotionCoeff,BONUSPACK,GIFTPACK,MultiPack
001_MONDELEZ_Milka_36/39/40g,0,0,0
002_MONDELEZ_Milka_78/81/84g,0,0,0
003_MONDELEZ_Milka_100g,0,0,0
004_MONDELEZ_Milka_108g,0,0,0
005_MONDELEZ_Milka_110g,0,0,0
006_MONDELEZ_Milka_195g,0,0,0
007_MONDELEZ_Milka_226g,0,0,0
008_MONDELEZ_Milka_234/243/246/249/252g,0,0,0
009_Corp. Hershey_Golden Monkey_80g,0,0,0
010_Corp. Hershey_Hershey's_40g,0,0,0
011_Corp. Hershey_Hershey's_50g,0,0,0
012_Corp. Hershey_Hershey's_60g,0,0,0
013_Corp. Hershey_Hershey's_210/240g,0,0,0
014_Corp. Hershey_Kisses_36g,0,0,0
015_Corp. Hershey_Kisses_82g,0,0,0
016_Corp. Hershey_Kisses_146g,0,0,0
017_Corp. Hershey_Kisses_160g,0,0,0
018_Corp. Hershey_Kisses_288g,0,0,0
019_Ferrero_Ferrero Collection_162/172g,0,0,0
020_Ferrero_Ferrero Collection_259/260g,0,0,0
021_Ferrero_Ferrero Collection_364/265g,0,0,0
022_Ferrero_Kinder Bueno_129g,0,0,0
023_Ferrero_Kinder Chocolate_50g,0,0,0
024_Ferrero_Kinder Chocolate_84g,0,0,0
025_Ferrero_Kinder Chocolate_100g,0,0,0
026_Ferrero_Kinder Joy_20g,0,0,0
027_Ferrero_Kinder Joy_60g,0,0,0
028_Ferrero_Rocher_400g,0,0,0
029_Ferrero_Rocher_375g,0,0,0
030_Ferrero_Raffaello_30g,0,0,0
031_Ferrero_Raffaello_100g,0,0,0
032_Ferrero_Raffaello_150g,0,0,0
033_Ferrero_Rocher_37.5g,0,0,0
034_Mars_Dove_243,0,0,0
035_Ferrero_Rocher_62.5g,0,0,0
036_Ferrero_Rocher_100g,0,0,0
037_Ferrero_Rocher_200g,0,0,0
038_Ferrero_Rocher_300g,0,0,0
039_Mars_CuiXiangMi_4*12g,0,0,0
040_Mars_CuiXiangMi_24g,0,0,0
041_Mars_CuiXiangMi_120g,0,0,0
042_Mars_CuiXiangMi_216g,0,0,0
043_Mars_Dove_30g,0,0,0
047_Mars_Dove_43g_66%,0,0,0
