Promoted Item Description,01_J&J_Dabao_SOD_Milk_200,02_J&J_Dabao_SOD_Milk_100/90,03_J&J_Dabao_SOD_Milk_Light_100/90,04_J&J_Dabao_SOD_Protein_100,05_J&J_Dabao_SOD_Protein_50,06_J&J_Dabao_Night_50,07_J&J_Dabao_Day_50,08_J&J_Dabao_Vitality_50,09_J&J_Dabao_Vitality_100,10_J&J_Dabao_White_50/75,11_J&J_Dabao_Hydartion_50/75,12_J&J_Dabao_SOD_Cream_50,13_Baiquelin_41.5,14_Baiquelin_baoshi_50,15_Baiquelin_baoshi_50,16_Baiquelin_8cups_50,17_Baiquelin_60,18_Baiquelin_baoshiru_100,19_Baiquelin_24hours_115/,20_Baiquelin_Fanshilin_120,21_Baiquelin_130,22_Baiquelin_SOD_150,23_Baiquelin_200,24_KanS_GEL_180,25_Inoherb_Moist_50,26_Inoherb_Herbal_100,27_Inoherb_White_120,28_Inoherb_Herbal_120,29_JaHwa_Maxam_20,30_JaHwa_Maxam_Low_80,31_JaHwa_Maxam_High_80,32_JaHwa_Maxam_Pearl_100,33_JaHwa_Maxam_High_100,34_JaHwa_Yashuang_80,35_JaHwa_Youyi_110,36_PG_Olay_Moist_50,37_PG_Olay_Advanced_Moist_50,38_Yumeijin_110,39_Livedun_120,40_Longliqi_Snake_60,41_Longliqi_SOD_low_90,42_Longliqi_SOD_high_90,43_Longliqi_SOD_165,47_Inoherb_Herbal_Lotus_120
01_J&J_Dabao_SOD_Milk_200,-0.50,-0.84,-0.47,,,,,,,,,-0.25,,,,,,,,,,-0.11,,-0.03,,,,,,,,,,,,,,,,-0.37,,,,
02_J&J_Dabao_SOD_Milk_100/90,-0.39,-0.50,,,,,,,,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,,,
03_J&J_Dabao_SOD_Milk_Light_100/90,-0.09,,,-0.2,,,-0.04,-0.09,,-0.23,,-0.14,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,
04_J&J_Dabao_SOD_Protein_100,-0.06,,,,-0.1,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,-0.13,,,,,,,,,,
05_J&J_Dabao_SOD_Protein_50,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,-0.06,,-0.17,,,,,-0.11,,,,,,
06_J&J_Dabao_Night_50,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
07_J&J_Dabao_Day_50,,,,,,-0.3,-0.32,,,-0.2,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,,,,
08_J&J_Dabao_Vitality_50,,,,,,,,-0.24,,,,,,,,,-0.05,-0.03,,,,,,-0.04,-0.08,,,,,-0.06,,,,,,,,,,,,,,
09_J&J_Dabao_Vitality_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,
10_J&J_Dabao_White_50/75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_J&J_Dabao_Hydartion_50/75,,,,,,,,,,,,,,,,,,,,,,,,-0.13,,,,,,-0.18,,,,,,,,,,,,,,
12_J&J_Dabao_SOD_Cream_50,,,,,,,,,,,,,,,,,,,,-0.11,,,,,,,,,,,-0.04,,,,,,,,,,-0.15,,,
13_Baiquelin_41.5,,,,,,,,,,,,,-0.48,,-0.16,,-0.08,,,,,,,,,,,,,,,,,,,,,,-0.58,,,,,
14_Baiquelin_baoshi_50,,-0.09,-0.05,-0.05,-0.23,,,,-0.08,,,-0.12,-0.17,0,-0.36,,-0.15,,-0.08,,-0.57,,,,,,,,,-0.09,,,,,,,,-0.08,,,,,,
15_Baiquelin_baoshi_50,,,,-0.14,,,,,-0.07,-0.28,-0.2,-0.08,,,-0.02,,-0.21,,,,,,,,,,,,,,,,,,,,-0.22,,,,,,,
16_Baiquelin_8cups_50,,,,,,,,,,,,,,,,-0.8,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
17_Baiquelin_60,,,,,,,,,,,,,,,-0.16,,0,,,-0.16,-0.28,,,,,,,,,,,,,,,,,,,,,,,
18_Baiquelin_baoshiru_100,,,,,,,,,,,,,,,,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,0
19_Baiquelin_24hours_115/,,,-0.05,,,,,,-0.06,,,-0.13,,,,,,,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,
20_Baiquelin_Fanshilin_120,,,,,,,,,,,,,,,,,-0.27,,,-0.57,,-0.12,-0.09,,,,,,,,,,-0.07,,,,,,-0.34,,,,,
21_Baiquelin_130,-0.05,,,,,,,,,,,,,,,,-0.07,,,,0,,-0.16,-0.09,,,,,,-0.08,,,,,,,,,,,,-0.09,,
22_Baiquelin_SOD_150,,,-0.21,-0.13,,,,,,,,,,,,,,,,,,-0.55,-0.31,-0.08,,,,,,,,,,,,,,,,,,,,
23_Baiquelin_200,,,,-0.16,,,,,-0.29,,,,,,,,,,,,,,-0.35,,,,,,,,,,-0.05,,,,,,,,,,,
24_KanS_GEL_180,,-0.21,-0.16,-0.08,,,-0.01,-0.04,-0.12,,,,,,-0.19,,,,-0.17,,-0.18,,-0.16,-0.58,,,,,,-0.1,-0.04,,-0.05,,,,,-0.16,,-0.11,-0.06,-0.09,,
25_Inoherb_Moist_50,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,-0.17,,,,,,,,,,-0.03,,,,,,,,-0.19
26_Inoherb_Herbal_100,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,-0.13,-0.16,-0.17,,,,,,,,,,,,,,,,0
27_Inoherb_White_120,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,,,,,,,,,,,,,,,,,0
28_Inoherb_Herbal_120,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.68,,,,,,,,,,,,,,,,
29_JaHwa_Maxam_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,-0.13,,-0.02,,,,,,,,,,
30_JaHwa_Maxam_Low_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.93,,,-0.25,,,,,,,,,,,
31_JaHwa_Maxam_High_80,,,,-0.2,,,,,,,,,,,,,,,,,-0.17,,-0.11,-0.08,,,,,,,-0.51,,-0.17,,,,,-0.18,,,,,,
32_JaHwa_Maxam_Pearl_100,-0.09,,,,,,,,,,,,,,,,,,,,-0.16,,,,,,,,-0.08,-0.17,,-0.54,,,-0.14,,,,,,,,,
33_JaHwa_Maxam_High_100,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,,,-0.11,,,-0.06,,,,,,,,,,,
34_JaHwa_Yashuang_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,,,,,-0.47,,,,,
