report,item,ItemDescription,infMFC,infBRD,ProductLine,Packsize, CurrentRegPrice ,Freq,Depth,Baseline,BONUSPACKFre,GIFTPACKFre,MultiPackFre
yes,1,01_J&J_Dabao_SOD_Milk_200,J&J,DaBao,Baseline,200, 16.8 ,0.26,0.2,46453.70702,0,0,0
yes,2,02_J&J_Dabao_SOD_Milk_100/90,J&J,DaBao,Baseline,100, 9.5 ,0.24,0.15,66302.35034,0,0,0
yes,3,03_J&J_Dabao_SOD_Milk_Light_100/90,J&J,DaBao,Baseline,100, 12.8 ,0.2,0.2,16272.77747,0,0,0
yes,4,04_J&J_Dabao_SOD_Protein_100,J&J,DaBao,Baseline,100, 16.8 ,0.21,0.16,13659.6562,0,0,0
yes,5,05_J&J_Dabao_SOD_Protein_50,J&J,DaBao,Baseline,50, 24.1 ,0.15,0.22,3949.608694,0,0,0
yes,6,06_J&J_Dabao_Night_50,J&J,DaBao,Baseline,50, 22.2 ,0.15,0.28,2306.987953,0,0,0
yes,7,07_J&J_Dabao_Day_50,J&J,DaBao,Baseline,50, 22.4 ,0.13,0.25,4244.935284,0,0,0
yes,8,08_J&J_Dabao_Vitality_50,J&J,DaBao,Baseline,50, 22.4 ,0.22,0.23,2242.69833,0,0,0
yes,9,09_J&J_Dabao_Vitality_100,J&J,DaBao,Baseline,100, 18.7 ,0.19,0.2,8182.925235,0,0,0
yes,10,10_J&J_Dabao_White_50/75,J&J,DaBao,Advanced,62, 38.4 ,0.3,0.35,2398.92766,0,0,0
yes,11,11_J&J_Dabao_Hydartion_50/75,J&J,DaBao,Advanced,60, 28.4 ,0.2,0.18,8828.88317,0,0,0
yes,12,12_J&J_Dabao_SOD_Cream_50,J&J,DaBao,Baseline,50, 12.3 ,0.17,0.19,8374.866229,0,0,0
yes,13,13_Baiquelin_41.5,BaiQueLing,Pechoin,Baseline,42, 6.4 ,0.13,0.16,8902.812335,0,0,0
yes,14,14_Baiquelin_baoshi_50,BaiQueLing,Pechoin,Baseline,50, 8.7 ,0.1,0.15,6053.87878,0,0,0
yes,15,15_Baiquelin_baoshi_50,BaiQueLing,Pechoin,Baseline,50, 17.1 ,0.08,0.16,3409.66902,0,0,0
yes,16,16_Baiquelin_8cups_50,BaiQueLing,Pechoin,Advanced,50, 42.3 ,0.17,0.18,5162.997496,0,0,0
yes,17,17_Baiquelin_60,BaiQueLing,Pechoin,Baseline,60, 9.1 ,0.1,0.19,4093.865856,0,0,0
